
12:30:11   0
FUNCOES OBS: Grupo: 2622 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 
FUNCOES OBS: Grupo: 2674 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: 2675 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: 2676 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: 2678 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: 2679 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: 2682 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: 2683 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: 2684 | Tempo: 1.0 seg de 1 | Num tentativas: 0 | Faz: None | path: Não path | Erro: str. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 0 | Faz: keys | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 0 | Faz: localizar | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: 2685 | Tempo: 10.1 seg de 10 | Num tentativas: 0 | Faz: informar | path: Não path | Erro: NoSuchElementException. | 

TAREFA ERRO: Tabela vazia: 1 vezes Exceção: AttributeError: 2685 / None / None
FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: 2685 | Tempo: 2.1 seg de 2 | Num tentativas: 0 | Faz: informar | path: Não path | Erro: NoSuchElementException. | 

TAREFA ERRO: Tabela vazia: 1 vezes Exceção: AttributeError: 2685 / None / None
FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 0 | Faz: localizar | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: 2685 | Tempo: 10.1 seg de 10 | Num tentativas: 0 | Faz: informar | path: Não path | Erro: NoSuchElementException. | 

TAREFA ERRO: Tabela vazia: 1 vezes Exceção: AttributeError: 2685 / None / None
FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: 2685 | Tempo: 2.1 seg de 2 | Num tentativas: 0 | Faz: informar | path: Não path | Erro: NoSuchElementException. | 

TAREFA ERRO: Tabela vazia: 1 vezes Exceção: AttributeError: 2685 / None / None
FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 0 | Faz: localizar | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: 2685 | Tempo: 10.1 seg de 10 | Num tentativas: 0 | Faz: informar | path: Não path | Erro: NoSuchElementException. | 

TAREFA ERRO: Tabela vazia: 1 vezes Exceção: AttributeError: 2685 / None / None
FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

FUNCOES OBS: Grupo: None | Tempo: 10.2 seg de 10 | Num tentativas: 31 | Faz: None | path: Não path | Erro: NoSuchElementException. | 

